CountryID,CountryName,Lesbian ratio,Gay ratio,Bisexual women ratio,Bisexual men ratio,Transgender ratio
EU Total,EU Total,0.164,0.617,0.069,0.077,0.073
AT,Austria,0.172,0.613,0.064,0.085,0.066
BE,Belgium,0.146,0.689,0.046,0.063,0.057
BG,Bulgaria,0.219,0.459,0.135,0.085,0.103
CY,Cyprus,0.155,0.619,0.068,0.064,0.094
CZ,Czech Republic,0.229,0.58,0.066,0.056,0.069
DE,Germany,0.121,0.686,0.029,0.099,0.066
DK,Denmark,0.23,0.544,0.08,0.063,0.084
EE,Estonia,0.265,0.455,0.163,0.053,0.064
GR,Greece,0.145,0.576,0.079,0.104,0.096
ES,Spain,0.14,0.69,0.055,0.08,0.034
FI,Finland,0.238,0.347,0.22,0.055,0.14
FR,France,0.155,0.683,0.039,0.071,0.052
HU,Hungary,0.135,0.642,0.06,0.104,0.059
IE,Ireland,0.26,0.532,0.087,0.036,0.086
IT,Italy,0.161,0.654,0.061,0.075,0.049
LT,Lithuania,0.216,0.535,0.122,0.079,0.049
LU,Luxembourg,0.16,0.588,0.05,0.082,0.119
LV,Latvia,0.299,0.399,0.166,0.044,0.092
MT,Malta,0.304,0.483,0.112,0.05,0.05
NL,Netherlands,0.193,0.61,0.067,0.05,0.079
PL,Poland,0.134,0.629,0.095,0.049,0.093
PT,Portugal,0.215,0.55,0.126,0.069,0.041
RO,Romania,0.11,0.548,0.056,0.17,0.117
SE,Sweden,0.173,0.427,0.138,0.109,0.152
SI,Slovenia,0.252,0.542,0.101,0.06,0.046
SK,Slovakia,0.144,0.584,0.096,0.061,0.115
GB,United Kingdom,0.19,0.561,0.085,0.043,0.12
HR,Croatia,0.196,0.495,0.131,0.088,0.09
